Day,Sales
1,1250
2,1375
3,1190
4,1305
5,1420
6,1150
7,980
8,1275
9,1340
10,1455
11,1380
12,1295
13,1410
14,1025
15,1185
16,1330
17,1465
18,1395
19,1280
20,1435
21,1090
22,1215
23,1350
24,1485
25,1400
26,1320
27,1445
28,1170
29,1255
30,1370
31,1505
32,1425
33,1340
34,1460
35,1195
36,1285
37,1390
38,1520
39,1445
40,1360
41,1475
42,1210
43,1300
44,1415
45,1535
46,1465
47,1380
48,1490
49,1230
50,1315
51,1430
52,1550
53,1480
54,1395
55,1505
56,1245
57,1330
58,1445
59,1565
60,1495
61,1410
62,1520
63,1260
64,1345
65,1460
66,1580
67,1510
68,1425
69,1535
70,1275
71,1360
72,1475
73,1595
74,1525
75,1440
76,1550
77,1290
78,1375
79,1490
80,1610
81,1540
82,1455
83,1565
84,1305
85,1390
86,1505
87,1625
88,1555
89,1470
90,1580
91,1320
92,1405
93,1520
94,1640
95,1570
96,1485
97,1595
98,1335
99,1420
100,1535
